name,dl,likes
facebook/opt-30b,47504,133
hfl/chinese-roberta-wwm-ext-large,6485,133
juuxn/RVCModels,0,133
meta-llama/LlamaGuard-7b,14409,133
eachadea/ggml-vicuna-7b-1.1,0,134
facebook/seamless-streaming,0,134
google-t5/t5-large,345653,134
hfl/chinese-bert-wwm-ext,3763,134
humarin/chatgpt_paraphraser_on_T5_base,55023,134
Pi3141/alpaca-lora-30B-ggml,0,134
togethercomputer/RedPajama-INCITE-Chat-3B-v1,5575,134
zl111/ChatDoctor,0,134
facebook/opt-1.3b,147070,135
Intel/dpt-large,198190,135
internlm/internlm-chat-20b,2015,135
latent-consistency/lcm-sdxl,3123,135
Meina/MeinaMix,2178,135
pyannote/speaker-diarization-3.0,555503,135
stabilityai/stablelm-2-1_6b,21229,135
allenai/longformer-base-4096,4152288,136
eachadea/vicuna-13b-1.1,1784,136
Deci/DeciDiffusion-v1-0,251,137
state-spaces/mamba-2.8b,18192,137
dalle-mini/dalle-mega,36,138
ehristoforu/dalle-3-xl,17556,138
facebook/musicgen-melody,685,138
migtissera/SynthIA-7B-v1.3,3359,138
mlabonne/NeuralHermes-2.5-Mistral-7B,3075,138
SG161222/Realistic_Vision_V5.1_noVAE,628842,138
TheBloke/Nous-Capybara-34B-GGUF,41,138
TheBloke/zephyr-7B-alpha-GGUF,306,138
Vsukiyaki/ShiratakiMix,2337,138
allenai/tulu-2-dpo-70b,3670,139
artificialguybr/IconsMI-AppIconsModelforSD,695,139
naclbit/trinart_derrida_characters_v2_stable_diffusion,0,139
NousResearch/Obsidian-3B-V0.5,201,139
openai/whisper-small,169146,139
openlm-research/open_llama_3b,18453,139
vectara/hallucination_evaluation_model,33796,139
SweetLuna/Kenshi,13,140
databricks/dolly-v2-7b,6408,141
nitrosocke/redshift-diffusion-768,593,141
notstoic/pygmalion-13b-4bit-128g,1035,141
ProGamerGov/knollingcase-embeddings-sd-v2-0,0,141
stabilityai/sd-vae-ft-ema-original,0,141
stabilityai/stablelm-2-zephyr-1_6b,17475,141
TheBloke/Wizard-Vicuna-7B-Uncensored-GPTQ,474502,141
xyz-nlp/XuanYuan2.0,0,141
ykilcher/gpt-4chan,0,141
a1079602570/animefull-final-pruned,1,142
facebook/bart-large,194254,142
mlabonne/NeuralBeagle14-7B,4001,142
naver-clova-ix/donut-base,24373,142
SenY/LoRA,0,142
therealvul/so-vits-svc-4.0,0,142
hakurei/waifu-diffusion-xl,0,143
TheBloke/wizard-vicuna-13B-GGML,0,143
wavymulder/modelshoot,2141,143
WhereIsAI/UAE-Large-V1,413292,143
facebook/seamless-expressive,0,144
hfl/chinese-alpaca-2-7b,862,144
sazyou-roukaku/BracingEvoMix,21378,144
TheBloke/deepseek-coder-6.7B-instruct-GGUF,124,144
TheBloke/MythoMax-L2-13B-GPTQ,57415,144
THUDM/cogvlm-chat-hf,34120,144
facebook/galactica-120b,2640,145
lxyuan/distilbert-base-multilingual-cased-sentiments-student,13755314,145
ahxt/LiteLlama-460M-1T,29680,146
Crosstyan/BPModel,4776,147
iZELX1/Grapefruit,2498,147
Open-Orca/OpenOrca-Preview1-13B,2323,147
timpal0l/mdeberta-v3-base-squad2,273715,147
nvidia/canary-1b,15656,148
OpenPipe/mistral-ft-optimized-1218,3667,148
dallinmackay/JWST-Deep-Space-diffusion,360,149
mattshumer/mistral-8x7b-chat,44,149
sd-concepts-library/midjourney-style,0,149
camenduru/potat1,143,150
deepseek-ai/deepseek-llm-67b-chat,3726,150
google/mt5-base,653391,150
microsoft/deberta-v3-base,164078,150
MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,3569260,150
openai/whisper-base,1250488,150
beomi/llama-2-ko-7b,30472,151
pankajmathur/orca_mini_3b,55828,151
someone13574/mixtral-8x7b-32kseqlen,0,151
epfl-llm/meditron-70b,3261,152
FacebookAI/roberta-large,11473140,152
microsoft/BioGPT-Large,1774,152
TheBloke/Phind-CodeLlama-34B-v2-GGUF,108,152
EleutherAI/gpt-neo-125m,278793,153
google/pegasus-xsum,90273,153
microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,119172,153
prompthero/openjourney-lora,318,153
defog/sqlcoder-70b-alpha,2729,154
openai/whisper-medium,272775,154
xiaolxl/Gf_style2,356,154
01-ai/Yi-6B-200K,5779,155
openai/whisper-tiny,210379,155
BlinkDL/rwkv-4-pile-7b,0,156
Fictiverse/Stable_Diffusion_VoxelArt_Model,411,156
ogkalu/Illustration-Diffusion,0,156
OpenAssistant/reward-model-deberta-v3-large-v2,28204,156
codellama/CodeLlama-34b-hf,13205,157
PygmalionAI/pygmalion-7b,0,157
TheBloke/phi-2-GGUF,391,157
TheBloke/wizardLM-7B-GGML,0,157
argilla/notux-8x7b-v1,1708,158
TheBloke/Llama-2-70B-Chat-GGML,33,158
togethercomputer/Llama-2-7B-32K-Instruct,52771,158
HuggingFaceM4/idefics-80b-instruct,5611,159
LargeWorldModel/LWM-Text-Chat-1M,1546,159
lmsys/vicuna-7b-delta-v0,279,159
zcxu-eric/MagicAnimate,6121,159
defog/sqlcoder-34b-alpha,3203,160
google/ul2,280,160
JosephusCheung/ACertainModel,4048,160
warp-ai/wuerstchen,3723,160
yehiaserag/anime-pencil-diffusion,9546,160
cognitivecomputations/dolphin-2.6-mixtral-8x7b,1378,161
lmsys/vicuna-13b-v1.5,56042,161
Lykon/NeverEnding-Dream,1026,161
BAAI/bge-large-en,130129,162
cardiffnlp/twitter-xlm-roberta-base-sentiment,680196,162
Linaqruf/animagine-xl-2.0,14948,162
moka-ai/m3e-large,2144,162
openbmb/cpm-bee-10b,51,162
TencentARC/LLaMA-Pro-8B,2625,162
ioclab/control_v1p_sd15_brightness,3450,163
MetaIX/GPT4-X-Alpaca-30B-4bit,977,163
stabilityai/sd-x2-latent-upscaler,33154,163
uer/gpt2-chinese-cluecorpussmall,9692,163
distilbert/distilbert-base-cased-distilled-squad,410196,164
intfloat/multilingual-e5-base,251269,164
NousResearch/Nous-Hermes-2-SOLAR-10.7B,4072,164
timdettmers/guanaco-33b-merged,2448,164
codellama/CodeLlama-7b-Instruct-hf,52838,165
cognitivecomputations/dolphin-2.2.1-mistral-7b,93521,165
Dunkindont/Foto-Assisted-Diffusion-FAD_V0,442,165
liuhaotian/llava-v1.6-34b,63487,165
TheBloke/Llama-2-13B-chat-GGUF,810,165
lambdalabs/sd-pokemon-diffusers,7564,166
tuner007/pegasus_paraphrase,52216,166
wavymulder/wavyfusion,2231,166
dallinmackay/Tron-Legacy-diffusion,839,167
facebook/nllb-200-3.3B,23887,167
joachimsallstrom/Double-Exposure-Diffusion,371,167
01-ai/Yi-VL-34B,149768,168
BAAI/bge-reranker-large,357590,168
microsoft/codebert-base,339721,168
rinna/japanese-stable-diffusion,447,168
teknium/Mistral-Trismegistus-7B,402,168
google/deplot,11276,169
jbetker/tortoise-tts-v2,0,169
naclbit/trinart_characters_19.2m_stable_diffusion_v1,15780,169
ArkanDash/rvc-genshin-impact,0,170
naonovn/chilloutmix_NiPrunedFp32Fix,0,170
bigscience/bloom-7b1,134338,171
BlinkDL/rwkv-4-pile-14b,0,172
google/tapas-base-finetuned-wtq,12733,172
joeddav/xlm-roberta-large-xnli,118182,172
laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,178300,172
TheBloke/Llama-2-13B-GGML,61,172
TheBloke/Nous-Hermes-13B-GPTQ,3230,172
amazon/FalconLite,1184,173
Babelscape/rebel-large,47389,173
facebook/opt-66b,16565,173
FlagAlpha/Llama2-Chinese-7b-Chat,3800,173
garage-bAInd/Platypus2-70B-instruct,2831,173
guillaumekln/faster-whisper-large-v2,1183449,174
cognitivecomputations/dolphin-2_6-phi-2,13319,175
DucHaiten/DucHaitenAIart,2633,175
TheBloke/WizardCoder-15B-1.0-GPTQ,158,175
Joeythemonster/anything-midjourney-v-4-1,3985,176
Xynon/SD-Silicon,0,176
ClueAI/ChatYuan-large-v2,1050,177
google/flan-t5-small,412154,177
TheBloke/WizardLM-7B-uncensored-GPTQ,1895,177
epfl-llm/meditron-7b,7608,178
intfloat/e5-large-v2,523138,178
knkarthick/MEETING_SUMMARY,50545,178
ai-forever/Kandinsky_2.1,0,179
lmsys/vicuna-7b-v1.5,438907,179
microsoft/trocr-base-handwritten,548428,179
coreco/seek.art_MEGA,1250,180
MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,279652,180
codellama/CodeLlama-70b-Instruct-hf,12103,181
microsoft/phi-1,20565,181
baichuan-inc/Baichuan-13B-Base,711,182
BanKaiPls/AsianModel,0,182
PublicPrompts/All-In-One-Pixel-Model,503,182
facebook/m2m100_418M,995981,183
ise-uiuc/Magicoder-S-DS-6.7B,3581,183
nolanaatama/embeddings,0,183
BelleGroup/BELLE-7B-2M,8,184
NoCrypt/blessed_vae,0,184
lmsys/vicuna-13b-v1.3,7595,185
acheong08/f222,0,186
RWKV/v5-Eagle-7B,0,186
thiros/YuzuLemonTea,0,186
