name,dl,votes
TheBloke/Mistral-7B-OpenOrca-GGUF,524,228
ioclab/ioc-controlnet,0,229
liuhaotian/llava-v1.5-7b,347170,229
01-ai/Yi-34B-200K,9393,230
TheBloke/Llama-2-7B-Chat-GPTQ,405878,230
dreamlike-art/dreamlike-anime-1.0,9131,232
JujoHotaru/lora,30548,232
samle/sd-webui-models,0,232
Deci/DeciLM-6b,3140,233
cardiffnlp/twitter-roberta-base-sentiment,6812444,235
0xJustin/Dungeons-and-Diffusion,2931,236
nlptown/bert-base-multilingual-uncased-sentiment,1101137,236
hollowstrawberry/stable-diffusion-guide,0,237
Salesforce/blip2-opt-2.7b,201514,237
facebook/fastspeech2-en-ljspeech,2325,238
THUDM/codegeex2-6b,1766,238
stabilityai/stable-diffusion-2-1-unclip,69763,241
Deci/DeciCoder-1b,6152,243
huggyllama/llama-7b,223707,243
laion/CLIP-ViT-H-14-laion2B-s32B-b79K,1043035,243
google/switch-c-2048,57,244
hotshotco/Hotshot-XL,8786,244
microsoft/DialoGPT-large,227682,244
microsoft/layoutlmv3-base,9743863,246
Phind/Phind-CodeLlama-34B-Python-v1,17193,247
teknium/OpenHermes-2-Mistral-7B,564078,247
TheBloke/Llama-2-70B-Chat-GPTQ,65174,248
bigscience/tr11-176B-logs,0,249
BlinkDL/rwkv-5-world,0,250
cognitivecomputations/dolphin-2.1-mistral-7b,85284,250
HuggingFaceH4/starchat-beta,7950,250
upstage/SOLAR-0-70b-16bit,2255,250
openai-community/gpt2-xl,206866,251
meta-llama/Llama-2-13b-chat,0,253
FacebookAI/xlm-roberta-large,1705656,254
DiscoResearch/mixtral-7b-8expert,180431,255
cerebras/btlm-3b-8k-base,4442,256
BAAI/bge-large-zh,12890,258
chavinlo/alpaca-native,10404,258
codellama/CodeLlama-34b-Instruct-hf,20029,258
codellama/CodeLlama-7b-hf,269976,258
swl-models/chilloutmix,0,258
succinctly/text2image-prompt-generator,26118,259
FlagAlpha/Llama2-Chinese-13b-Chat,3427,261
CausalLM/14B,201,262
fb700/chatglm-fitness-RLHF,58,262
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,20590,262
openchat/openchat-3.5-1210,19568,262
yesyeahvh/bad-hands-5,0,262
cognitivecomputations/Wizard-Vicuna-13B-Uncensored,2308,263
IDEA-CCNL/Ziya-LLaMA-13B-v1,2600,263
Helsinki-NLP/opus-mt-en-zh,56269,264
databricks/dolly-v2-3b,127880,265
TheBloke/dolphin-2.5-mixtral-8x7b-GGUF,231,266
TheBloke/guanaco-65B-GPTQ,81,266
SamLowe/roberta-base-go_emotions,13139374,267
stabilityai/sd-turbo,50549,270
